accuracy,loss
0.534074068069458,1.466758131980896
0.7855555415153503,0.7819993495941162
0.849490761756897,0.5813037753105164
0.8752315044403076,0.4750879406929016
0.894953727722168,0.39940086007118225
0.903333306312561,0.35287216305732727
0.910277783870697,0.31815311312675476
0.9174073934555054,0.29267996549606323
0.9218518733978271,0.26985782384872437
0.9263888597488403,0.25571373105049133
0.9310185313224792,0.24338552355766296
0.9323148131370544,0.22906756401062012
0.9352777600288391,0.22219803929328918
0.9376851916313171,0.20979449152946472
0.9372684955596924,0.20494283735752106
0.9422222375869751,0.19416506588459015
0.9413889050483704,0.19214002788066864
0.9435648322105408,0.18457545340061188
0.9473611116409302,0.17765478789806366
0.9465740919113159,0.17398212850093842
0.9461573958396912,0.17097750306129456
0.950509250164032,0.16388188302516937
0.9506481289863586,0.16188284754753113
0.9518055319786072,0.15812914073467255
0.9522222280502319,0.1558329313993454
0.9525926113128662,0.15214358270168304
0.9563425779342651,0.14417098462581635
0.9568981528282166,0.14241519570350647
0.9559721946716309,0.14010299742221832
0.9588425755500793,0.13791076838970184
0.9597222208976746,0.13096363842487335
0.9593981504440308,0.1353151500225067
0.9603240489959717,0.1291949301958084
